TA,TR,HR,WI
63,43,92,9
65,43,92,9
70,51,93,10
69,47,92,7
75,54,96,12
76,50,93,8
78,62,100,10
79,65,100,14
75,70,90,17
74,69,96,23
75,46,89,10
75,65,100,9
63,39,53,15
68,37,79,14
58,35,76,13
66,48,92,13
67,62,100,13
76,64,93,8
79,66,93,13
81,66,93,15
74,63,93,10
70,66,93,9
78,70,93,21
73,69,93,21
46,34,92,21
49,43,92,8
57,44,100,9
53,40,93,13
48,36,66,15
47,42,100,8
62,43,96,9
58,33,79,9
56,40,85,9
53,52,100,9
73,53,100,9
66,57,100,13
58,44,71,18
50,28,82,12
56,32,82,7
66,39,89,10
66,42,92,10
70,55,93,12
70,53,93,10
64,43,76,20
57,35,89,12
59,38,92,8
69,51,100,14
57,51,89,12
64,56,100,22
54,30,70,18
57,32,85,8
70,52,82,14
75,57,93,10
58,36,58,18
59,30,70,14
71,36,82,10
76,39,85,14
77,56,84,14
86,58,93,12
77,61,100,18
72,36,37,16
58,27,54,15
59,28,75,8
62,39,70,15
60,41,79,15
68,37,96,13
65,33,58,17
74,33,59,14
74,36,82,9
83,47,52,13
79,48,93,10
75,54,78,15
75,57,93,15
74,58,90,16
82,47,71,12
75,42,44,13
79,58,93,16
81,62,81,16
76,64,87,14
71,65,93,9
72,59,90,12
61,58,93,23
65,38,76,18
69,34,79,13
64,36,56,10
73,52,82,14
78,59,93,13
77,61,93,13
81,62,87,16
78,62,81,16
83,64,87,17
76,47,71,12
79,56,93,12
77,60,93,16
76,65,87,21
83,69,90,17
71,67,100,15
64,61,93,16
71,63,100,9
74,58,100,9
85,61,97,15
92,63,73,14
92,68,100,12
81,67,84,13
79,67,90,7
79,69,100,17
62,49,72,18
64,32,62,15
68,39,82,12
78,58,86,17
82,65,87,15
70,67,72,17
73,46,89,12
74,57,93,13
74,63,100,15
75,46,71,10
69,68,100,13
77,70,100,14
86,69,97,12
66,52,72,21
74,42,76,13
79,45,89,12
83,53,66,12
82,55,66,15
82,58,90,15
85,51,86,9
80,49,77,12
77,58,84,16
79,66,87,21
89,71,93,15
73,70,93,15
72,61,100,10
77,58,100,10
79,62,100,14
75,71,100,16
78,71,97,16
75,68,100,13
81,67,100,8
81,67,93,20
83,66,93,17
84,60,93,12
83,59,87,9
79,67,93,13
88,73,93,15
86,72,93,17
90,71,93,16
87,73,93,15
84,74,94,14
86,74,94,13
78,65,87,13
70,54,80,15
78,51,86,12
87,55,89,13
89,56,72,8
86,55,86,10
85,62,90,17
73,69,97,17
87,70,87,16
91,74,93,17
87,73,87,18
84,70,93,17
87,70,79,8
81,71,100,9
72,67,93,9
80,67,100,12
82,69,100,20
78,63,93,15
76,65,100,15
83,66,93,8
83,74,87,9
87,75,93,14
85,75,93,14
87,74,87,13
86,77,88,13
90,78,93,16
77,69,100,12
91,77,100,13
88,74,100,14
89,72,93,13
82,75,100,14
87,72,97,10
84,72,100,10
85,70,93,10
86,71,100,13
88,68,97,14
90,63,68,13
92,70,84,8
92,72,93,12
92,72,93,20
91,73,97,10
93,75,88,12
94,77,91,14
94,76,91,12
94,76,85,12
96,75,85,13
96,75,94,14
97,75,94,10
96,75,88,10
94,76,85,12
95,74,87,9
96,73,87,9
96,74,94,13
95,73,94,14
93,74,94,13
88,78,94,10
95,76,100,13
96,75,87,8
101,73,100,26
96,75,93,9
94,74,88,10
96,74,93,10
98,74,88,14
98,75,85,15
99,75,85,14
99,75,85,16
100,75,91,16
99,74,85,16
100,75,85,14
99,76,91,13
97,78,91,14
100,75,85,17
100,74,88,17
101,76,85,15
101,74,88,17
